fold,model,val_macro_f1,val_accuracy,n_train,n_val,train_end,val_start,val_end
1,logreg,0.7350088895071618,0.7629179331306991,331,329,2019-07-23,2019-07-24,2020-11-09
1,random_forest,0.9892215464539588,0.9908814589665653,331,329,2019-07-23,2019-07-24,2020-11-09
1,grad_boost,1.0,1.0,331,329,2019-07-23,2019-07-24,2020-11-09
2,logreg,0.8932227327407016,0.8936170212765957,660,329,2020-11-09,2020-11-10,2022-03-02
2,random_forest,0.9790110771535846,0.9848024316109423,660,329,2020-11-09,2020-11-10,2022-03-02
2,grad_boost,0.9976102384213917,0.9969604863221885,660,329,2020-11-09,2020-11-10,2022-03-02
3,logreg,0.9252277052568529,0.9422492401215805,989,329,2022-03-02,2022-03-03,2023-06-23
3,random_forest,1.0,1.0,989,329,2022-03-02,2022-03-03,2023-06-23
3,grad_boost,0.9953294702511003,0.993920972644377,989,329,2022-03-02,2022-03-03,2023-06-23
4,logreg,0.929776091881355,0.9300911854103343,1318,329,2023-06-23,2023-06-26,2024-10-14
4,random_forest,1.0,1.0,1318,329,2023-06-23,2023-06-26,2024-10-14
4,grad_boost,1.0,1.0,1318,329,2023-06-23,2023-06-26,2024-10-14
5,logreg,0.9573966986596455,0.9574468085106383,1647,329,2024-10-14,2024-10-15,2026-02-06
5,random_forest,1.0,1.0,1647,329,2024-10-14,2024-10-15,2026-02-06
5,grad_boost,0.9969123400655598,0.9969604863221885,1647,329,2024-10-14,2024-10-15,2026-02-06
