fold,model,val_macro_f1,val_accuracy,train_end,val_start,val_end,n_train,n_val
1,logreg,0.34234611966400047,0.46733668341708545,2019-01-11,2019-01-22,2019-11-01,199,199
1,random_forest,0.47232728938039586,0.7437185929648241,2019-01-11,2019-01-22,2019-11-01,199,199
1,grad_boost,0.42491039426523297,0.7185929648241206,2019-01-11,2019-01-22,2019-11-01,199,199
2,logreg,0.46424653010790484,0.457286432160804,2019-10-25,2019-11-04,2020-08-18,398,199
2,random_forest,0.3167193147215345,0.5125628140703518,2019-10-25,2019-11-04,2020-08-18,398,199
2,grad_boost,0.5553328179797264,0.6331658291457286,2019-10-25,2019-11-04,2020-08-18,398,199
3,logreg,0.24976375107701718,0.2864321608040201,2020-08-11,2020-08-19,2021-06-03,597,199
3,random_forest,0.3932743182743182,0.5728643216080402,2020-08-11,2020-08-19,2021-06-03,597,199
3,grad_boost,0.33735471780421905,0.4371859296482412,2020-08-11,2020-08-19,2021-06-03,597,199
4,logreg,0.43858142800484506,0.6432160804020101,2021-05-26,2021-06-04,2022-03-17,796,199
4,random_forest,0.3752954556692874,0.5527638190954773,2021-05-26,2021-06-04,2022-03-17,796,199
4,grad_boost,0.392223055763941,0.6080402010050251,2021-05-26,2021-06-04,2022-03-17,796,199
5,logreg,0.2580282756879576,0.35175879396984927,2022-03-10,2022-03-18,2022-12-30,995,199
5,random_forest,0.27712640278500206,0.3165829145728643,2022-03-10,2022-03-18,2022-12-30,995,199
5,grad_boost,0.2862249544626594,0.3065326633165829,2022-03-10,2022-03-18,2022-12-30,995,199
